Order Priority,Unit Price,Product Sub-Category,Customer,Order Date,Ship Mode,Discount,Row ID,Order ID,Customer Segment,Product Category,Product Container,Product Name,Product Base Margin,Region,State or Province,City,Postal Code,Ship Date,Shipping Cost,Profit,Quantity ordered new,Sales,Product Sub-Category
medium,140.98,Bookcases,Melanie Garner8,12/25/2012,Delivery Truck,0.08,20876,90199,Home Office 763,Furniture,*Jumbo Box,"Sauder Forest Hills Library, Woodland Oak Finish",0.77,East,New Hampshire,Bedford,3110,12/26/2012,36.09,-158.74,5,705.47,Bookcases
medium,286.85,Tables,Lorraine Houston9,12/25/2012,Delivery Truck,0.1,20877,90199,Home Office 763,Furniture,*Jumbo Box,Riverside Furniture Stanwyck Manor Table Series,0.78,East,New Jersey,Camden,8101,12/27/2012,61.76,-346.6151975,8,1794.27,Tables
critical,15.57,                  Envelopes,Meredith Norris Thomas10,10-04-2011,Regular Air,0.06,22241,90195,Home Office 763,Office Supplies,Small Box@,Park Ridge� Embossed Executive Business Envelopes,0.38,East,New Jersey,Pennsauken,8109,10-05-2011,1.39,142.7955,14,206.95,Envelopes
critical,9.48,Off ice Furnishings,Marcus Dunlap11,8/15/2010,Regular Air,0.06,21776,90192,Home Office 763,Furniture,Small Pack%,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",0.45,East,New Jersey,Roselle,7203,8/17/2010,7.29,-53.8096,22,211.15,Office Furnishings
high,10.98,"Scissors, Rulers and Trimmers",Kara Pace12,2/24/2012,Regular Air,0.04,23328,90196,Home Office 763,Office Supplies,Small Pack%,Fiskars� Softgrip Scissors,0.57,East,Rhode Island,Cranston,2907,2/26/2012,3.37,23.12,8,90.39,"Scissors, Rulers and Trimmers"
medium,78.69,Office Furnishings,Gwendolyn F Tyson14,05-12-2010,Regular Air,0.09,24844,86838,Small Business 890,Furniture,Small Box@,Howard Miller 12-3/4 Diameter Accuwave DS � Wall Clock,0.43,Central,Minnesota,Prior Lake,55372,5/14/2010,19.99,803.4705,16,1164.45,Office Furnishings
medium,3.28,Pens & Art Supplies,Gwendolyn F Tyson14,05-12-2010,Regular Air,0.08,24846,86838,Small Business 890,Office Supplies,Wrap/ Bag,Newell 321,0.56,Central,Minnesota,Prior Lake,55372,5/13/2010,2.31,-24.03,7,22.23,Pens & Art Supplies
medium,3.28,Pens & Art Supplies,Gwendolyn F Tyson14,05-12-2010,Regular Air,0.05,24847,86838,Small Business 890,Office Supplies,Wrap/ Bag,Newell 351,0.56,Central,Minnesota,Prior Lake,55372,5/13/2010,4.2,-37.03,4,13.99,Pens & Art Supplies
medium,3.58,Rubber Bands,Gwendolyn F Tyson14,05-12-2010,Regular Air,0.05,24848,86838,Small Business 890,Office Supplies,Wrap/ Bag,"OIC Colored Binder Clips, Assorted Sizes",0.36,Central,Minnesota,Prior Lake,55372,5/13/2010,1.63,-0.71,4,14.26,Rubber Bands
medium,6.48,Paper,Gwendolyn F Tyson14,05-12-2013,Regular Air,0.01,24845,86845,Small Business 890,Office Supplies,Small Box@,Xerox 213,0.37,Central,Minnesota,Prior Lake,55372,5/13/2013,7.86,-44.54,4,29.55,Paper
critical,4.42,Envelopes,Timothy Reese15,04-08-2010,Regular Air,0,18181,86837,Small Business 890,Office Supplies,Small Box@,Grip Seal Envelopes,0.38,East,New York,Smithtown,11787,04-09-2010,4.99,-59.82,7,33.47,Envelopes
medium,35.94,Envelopes,Timothy Reese15,5/28/2010,Regular Air,0.01,20925,86839,Small Business 890,Office Supplies,Small Box@,"Tyvek � Top-Opening Peel & Seel � Envelopes, Gray",0.4,East,New York,Smithtown,11787,5/28/2010,6.66,261.8757,10,379.53,Envelopes
medium,1.76,Pens & Art Supplies,Timothy Reese15,12-04-2011,Regular Air,0.03,18263,86840,Small Business 890,Office Supplies,Wrap/ Bag,Newell 310,0.56,East,New York,Smithtown,11787,12-06-2011,0.7,-1.17,10,17.39,Pens & Art Supplies
medium,5.98,Paper,Timothy Reese15,4/29/2012,Regular Air,0.04,18554,86841,Small Business 890,Office Supplies,Small Box@,Xerox 1992,0.36,East,New York,Smithtown,11787,05-01-2012,5.2,-24.03,3,19.04,Paper
low,7.59,Office Furnishings,Timothy Reese15,1/19/2013,Regular Air,0,22781,86842,Small Business 890,Furniture,Wrap/ Bag,"Master Giant Foot� Doorstop, Safety Yellow",0.42,East,New York,Smithtown,11787,1/21/2013,4,23.2668,4,33.72,Office Furnishings
low,4.13,Labels,Timothy Reese15,1/21/2013,Regular Air,0.07,23287,86843,Small Business 890,Office Supplies,Small Box@,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",0.39,East,New York,Smithtown,11787,1/23/2013,6.89,-174.2696,9,38.18,Labels
high,2.98,Rubber Bands,Sarah Ramsey16,02-12-2010,Regular Air,0.04,26267,86836,Small Business 890,Office Supplies,Wrap/ Bag,Staples Gold Paper Clips,0.39,East,New York,Syracuse,13210,2/15/2010,1.58,2.63,6,18.8,Rubber Bands
high,115.99,Telephones and Communication,Sarah Ramsey16,02-12-2010,Regular Air,0.05,26268,86836,Small Business 890,Technology,Small Box@,StarTAC 7797,0.55,East,New York,Syracuse,13210,2/14/2010,2.5,652.7331,10,945.99,Telephones and Communication
high,14.27,           Binders and Binder Accessories,Sarah Ramsey16,02-12-2013,Express Air,0.08,26266,86844,Small Business 890,Office Supplies,Small Box@,"GBC Laser Imprintable Binding System Covers, Desert Sand",0.38,East,New York,Syracuse,13210,2/15/2013,7.27,3.4595,3,45.6,Binders and Binder Accessories
low,5.85,Pens & Art Supplies,Florence Hsu Schwarz17,4/20/2011,Regular Air,0.05,19359,90033,Small Business 890,Office Supplies,Wrap/ Bag,"Dixon My First Ticonderoga Pencil, #2",0.56,West,Montana,Great Falls,59405,4/24/2011,2.27,-6.82,2,12.18,Pens & Art Supplies
critical,7.77,Appliances,Florence Hsu Schwarz17,04-06-2012,Express Air,0.05,20459,90034,Small Business 890,Office Supplies,Small Box@,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,0.58,West,Montana,Great Falls,59405,04-08-2012,9.23,-96.33,4,34.75,Appliances
high,26.48,Office Furnishings,Laurie Hanna18,5/15/2010,Regular Air,0.05,23890,90031,Small Business 890,Furniture,Small Box@,DAX Natural Wood-Tone Poster Frame,0.49,West,Montana,Helena,59601,5/16/2010,6.93,314.4813,17,455.77,Office Furnishings
critical,42.98,          Appliances,Laurie Hanna18,5/15/2012,Express Air,0.08,21763,90035,Small Business 890,Office Supplies,Small Box@,Belkin F9M820V08 8 Outlet Surge,0.56,West,Montana,Helena,59601,5/16/2012,4.62,446.0781,15,646.49,Appliances
critical,8.04,Binders and Binder Accessories,Laurie Hanna18,5/15/2012,Express Air,0.07,21764,90035,Small Business 890,Office Supplies,Small Box@,"Fellowes Twister Kit, Gray/Clear, 3/pkg",0.4,West,Montana,Helena,59601,5/15/2012,8.94,-117.1045,9,75.85,Binders and Binder Accessories
not specified,5,Rubber Bands,Laurie Hanna18,5/21/2013,Regular Air,0.08,24062,90038,Small Business 890,Office Supplies,Wrap/ Bag,Advantus Plastic Paper Clips,0.37,West,Montana,Helena,59601,5/22/2013,3.39,-17.49,13,65.69,Rubber Bands
low,110.98,Chairs & Chairmats,Laurie Hanna18,10-02-2013,Delivery Truck,0.02,20578,90039,Small Business 890,Furniture,Jumbo Drum$,Office Star Flex Back Scooter Chair with White Frame,0.71,West,Montana,Helena,59601,10-04-2013,30,126.31,22,2575.93,Chairs & Chairmats
low,12.53,Labels,Laurie Hanna18,10-02-2013,Regular Air,0.01,20579,90039,Small Business 890,Office Supplies,Small Box@,Avery 485,0.38,West,Montana,Helena,59601,10-04-2013,0.5,152.7867,17,221.43,Labels
not specified,12.99,Office Machines,Jim Rodgers19,5/21/2010,Regular Air,0.07,24063,90032,Small Business 890,Technology,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,West,Montana,Missoula,59801,5/23/2010,9.44,-114.6399,18,231.79,Office Machines
not specified,64.65,Storage & Organization,Marion Nolan Kaplan20,5/31/2012,Express Air,0.06,25082,90036,Small Business 890,Office Supplies,Large Box,Space Solutions Commercial Steel Shelving,0.8,Central,Nebraska,Bellevue,68005,06-02-2012,35,-929.68,13,802.21,Storage & Organization
not specified,15.23,Tables,Marion Nolan Kaplan20,5/31/2012,Delivery Truck,0,25083,90036,Small Business 890,Furniture,*Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,0.76,Central,Nebraska,Bellevue,68005,06-01-2012,27.75,-53.784,1,24.48,Tables
medium,30.98,Paper,Marion Nolan Kaplan20,03-07-2013,Regular Air,0,25711,90037,Small Business 890,Office Supplies,Small Box@,Xerox 197,0.4,Central,Nebraska,Bellevue,68005,03-08-2013,17.08,-41.82,1,49.61,Paper
high,26.48,Office Furnishings,Tony Wilkins Winters21,5/15/2010,Regular Air,0.05,5890,41793,Small Business 890,Furniture,Small Box@,DAX Natural Wood-Tone Poster Frame,0.49,East,New York,New York City,10012,5/16/2010,6.93,384.38,70,1876.69,Office Furnishings
not specified,5,Rubber Bands,Tony Wilkins Winters21,5/21/2010,Regular Air,0.08,6062,42949,Small Business 890,Office Supplies,Wrap/ Bag,Advantus Plastic Paper Clips,0.37,East,New York,New York City,10012,5/22/2010,3.39,-17.49,58,293.06,Rubber Bands
not specified,12.99,Office Machines,Tony Wilkins Winters21,5/21/2010,Regular Air,0.07,6063,42949,Small Business 890,Technology,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,East,New York,New York City,10012,5/23/2010,9.44,-114.6399,71,914.29,Office Machines
medium,30.98,Paper,Tony Wilkins Winters21,03-07-2011,Regular Air,0,7711,55269,Small Business 890,Office Supplies,Small Box@,Xerox 197,0.4,East,New York,New York City,10012,03-08-2011,17.08,-41.82,1,49.61,Paper
low,5.85,Pens & Art Supplies,Tony Wilkins Winters21,4/20/2011,Regular Air,0.05,1359,9895,Small Business 890,Office Supplies,Wrap/ Bag,"Dixon My First Ticonderoga Pencil, #2",0.56,East,New York,New York City,10012,4/24/2011,2.27,-6.82,9,54.79,Pens & Art Supplies
critical,7.77,Appliances,Tony Wilkins Winters21,04-06-2012,Express Air,0.05,2459,17860,Small Business 890,Office Supplies,Small Box@,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,0.58,East,New York,New York City,10012,04-08-2012,9.23,-96.33,18,156.38,Appliances
critical,42.98,         Appliances,Tony Wilkins Winters21,5/15/2012,Express Air,0.08,3763,26887,Small Business 890,Office Supplies,Small Box@,Belkin F9M820V08 8 Outlet Surge,0.56,East,New York,New York City,10012,5/16/2012,4.62,461.65,60,2585.97,Appliances
critical,8.04,Binders and Binder Accessories,Tony Wilkins Winters21,5/15/2012,Express Air,0.07,3764,26887,Small Business 890,Office Supplies,Small Box@,"Fellowes Twister Kit, Gray/Clear, 3/pkg",0.4,East,New York,New York City,10012,5/15/2012,8.94,-117.1045,36,303.4,Binders and Binder Accessories
not specified,64.65,             Storage & Organization,Tony Wilkins Winters21,5/31/2012,Express Air,0.06,7082,50533,Small Business 890,Office Supplies,Large Box,Space Solutions Commercial Steel Shelving,0.8,East,New York,New York City,10012,06-02-2012,35,-929.68,50,3085.41,Storage & Organization
not specified,15.23,Tables,Tony Wilkins Winters21,5/31/2012,Delivery Truck,0,7083,50533,Small Business 890,Furniture,*Jumbo Box,Anderson Hickey Conga Table Tops & Accessories,0.76,East,New York,New York City,10012,06-01-2012,27.75,-53.784,5,122.4,Tables
low,110.98,Chairs & Chairmats,Tony Wilkins Winters21,10-02-2013,Delivery Truck,0.02,2578,18596,Small Business 890,Furniture,Jumbo Drum$,Office Star Flex Back Scooter Chair with White Frame,0.71,East,New York,New York City,10012,10-04-2013,30,126.31,88,10303.73,Chairs & Chairmats
low,12.53,Labels,Tony Wilkins Winters21,10-02-2013,Regular Air,0.01,2579,18596,Small Business 890,Office Supplies,Small Box@,Avery 485,0.38,East,New York,New York City,10012,10-04-2013,0.5,223.38,67,872.68,Labels
high,14.34,Office Furnishings,Lynn Moss23,11-11-2011,Regular Air,0.05,19249,87655,Corporate 654,Furniture,Small Pack%,Nu-Dell Leatherette Frames,0.49,West,California,Laguna Hills,92653,11-12-2011,5,284.526,36,519.23,Office Furnishings
high,30.98,Paper,Lynn Moss23,11-11-2011,Regular Air,0,19250,87655,Corporate 654,Office Supplies,Small Box@,Xerox 1979,0.4,West,California,Laguna Hills,92653,11-12-2011,8.74,859.2639,37,1245.31,Paper
not specified,22.84,Paper,Lynn Moss23,09-10-2012,Express Air,0.07,18350,87660,Corporate 654,Office Supplies,Small Box@,Xerox 1929,0.39,West,California,Laguna Hills,92653,9/13/2012,5.47,83.24,7,165.11,Paper
low,146.05,Tables,Lynn Moss23,11/18/2013,Delivery Truck,0.1,18478,87669,Corporate 654,Furniture,*Jumbo Box,BPI Conference Tables,0.71,West,California,Laguna Hills,92653,11/25/2013,80.2,353.77216,11,1591.71,Tables
high,55.48,Paper,Edna Thomas24,1/28/2010,Regular Air,0.06,20631,87651,Corporate 654,Office Supplies,Small Box@,Xerox 194,0.37,West,California,Laguna Niguel,92677,1/29/2010,14.3,-28.2968,1,67.49,Paper
high,1.68,Pens & Art Supplies,Edna Thomas24,1/28/2010,Regular Air,0.02,20632,87651,Corporate 654,Office Supplies,Wrap/ Bag,Newell 323,0.59,West,California,Laguna Niguel,92677,1/30/2010,1.57,-5.3072,1,2.25,Pens & Art Supplies
not specified,205.99,Telephones and Communication,Edna Thomas24,03-02-2012,Regular Air,0.07,20309,87656,Corporate 654,Technology,Small Box@,V70,0.59,West,California,Laguna Niguel,92677,03-04-2012,2.5,1489.8411,13,2159.19,Telephones and Communication
high,21.38,Pens & Art Supplies,Edna Thomas24,12/19/2012,Regular Air,0.06,20625,87662,Corporate 654,Office Supplies,Small Pack%,Boston 1730 StandUp Electric Pencil Sharpener,0.59,West,California,Laguna Niguel,92677,12/20/2012,8.99,-23.415,5,105.99,Pens & Art Supplies
critical,11.7,Appliances,Edna Thomas24,1/13/2013,Regular Air,0.07,21196,87663,Corporate 654,Office Supplies,Medium Box,Harmony HEPA Quiet Air Purifiers,0.5,West,California,Laguna Niguel,92677,1/14/2013,6.96,-88.102,8,89.77,Appliances
high,5.98,Computer Peripherals,Virginia Hardison25,4/18/2012,Regular Air,0.02,21253,87657,Corporate 654,Technology,Small Pack%,"Imation 3.5"" IBM-Formatted Diskettes, 10/Pack",0.68,West,California,Lake Elsinore,92530,4/20/2012,3.85,-27.13,1,7.12,Computer Peripherals
high,5.98,Paper,Virginia Hardison25,4/18/2012,Regular Air,0.05,21254,87657,Corporate 654,Office Supplies,Small Box@,Xerox 1992,0.36,West,California,Lake Elsinore,92530,4/20/2012,5.2,-10.58,1,7.81,Paper
critical,25.98,Appliances,Virginia Hardison25,07-02-2013,Regular Air,0.06,21251,87666,Corporate 654,Office Supplies,Medium Box,3M Office Air Cleaner,0.5,West,California,Lake Elsinore,92530,07-04-2013,5.37,86.51776,7,174.54,Appliances
critical,155.06,Storage & Organization,Virginia Hardison25,07-02-2013,Regular Air,0.05,21252,87666,Corporate 654,Office Supplies,Small Box@,"Dual Level, Single-Width Filing Carts",0.59,West,California,Lake Elsinore,92530,07-04-2013,7.07,1268.4891,12,1838.39,Storage & Organization
medium,59.98,Appliances,Marguerite Kane26,6/27/2012,Regular Air,0.08,22410,87658,Corporate 654,Office Supplies,Small Box@,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,0.57,West,California,Lake Forest,92630,6/29/2012,3.99,420.984,11,619.14,Appliances
not specified,2.89,Labels,Marguerite Kane26,09-02-2013,Express Air,0,22737,87667,Corporate 654,Office Supplies,Small Box@,Avery 498,0.38,West,California,Lake Forest,92630,09-03-2013,0.5,19.4097,7,28.13,Labels
high,3.69,Labels,Marguerite Kane26,12-11-2013,Regular Air,0.09,21292,87670,Corporate 654,Office Supplies,Small Box@,Avery 52,0.38,West,California,Lake Forest,92630,12-12-2013,0.5,37.3704,15,54.16,Labels
high,65.99,Telephones and Communication,Marguerite Kane26,12-11-2013,Regular Air,0.06,21293,87670,Corporate 654,Technology,Small Box@,V 3600 Series,0.58,West,California,Lake Forest,92630,12-12-2013,8.99,-85.606752,3,170.67,Telephones and Communication
not specified,4.14,Office Furnishings,Guy Gallagher27,11-02-2010,Regular Air,0.04,23967,87652,Corporate 654,Furniture,Small Box@,Eldon Image Series Black Desk Accessories,0.49,West,California,Lakewood,90712,11-04-2010,6.6,8.894,12,54.78,Office Furnishings
low,35.44,Paper,Guy Gallagher27,07-12-2012,Regular Air,0.1,23535,87659,Corporate 654,Office Supplies,Small Box@,Xerox 1880,0.38,West,California,Lakewood,90712,7/14/2012,19.99,-47.01,4,142.51,Paper
low,55.48,Paper,Guy Gallagher27,07-12-2012,Regular Air,0.06,23536,87659,Corporate 654,Office Supplies,Small Box@,Xerox 194,0.37,West,California,Lakewood,90712,7/17/2012,14.3,346.7043,9,502.47,Paper
critical,8.09,Office Furnishings,Guy Gallagher27,10/26/2012,Express Air,0,23505,87661,Corporate 654,Furniture,Small Box@,"6"" Cubicle Wall Clock, Black",0.49,West,California,Lakewood,90712,10/26/2012,7.96,-171.2664,23,204.57,Office Furnishings
critical,14.2,Office Furnishings,Guy Gallagher27,10/26/2012,Regular Air,0.06,23506,87661,Corporate 654,Furniture,Wrap/ Bag,Coloredge Poster Frame,0.46,West,California,Lakewood,90712,10/28/2012,5.3,33.4144,11,161.11,Office Furnishings
not specified,65.99,Telephones and Communication,Guy Gallagher27,11-02-2013,Regular Air,0.01,23968,87668,Corporate 654,Technology,Small Box@,SC-3160,0.59,West,California,Lakewood,90712,11-04-2013,8.99,847.943712,29,1730.04,Telephones and Communication
high,2.88,Pens & Art Supplies,Ronnie McNamara28,1/22/2011,Regular Air,0.06,24987,87653,Corporate 654,Office Supplies,Wrap/ Bag,Newell 346,0.56,West,California,Lancaster,93534,1/23/2011,0.7,-2.2072,1,3.41,Pens & Art Supplies
critical,225.04,Appliances,Ronnie McNamara28,4/14/2013,Regular Air,0.07,24074,87665,Corporate 654,Office Supplies,Medium Box,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,0.42,West,California,Lancaster,93534,4/16/2013,11.79,28.81,1,226.03,Appliances
not specified,65.99,Telephones and Communication,Elizabeth Walker29,1/30/2011,Regular Air,0.08,25324,87654,Corporate 654,Technology,Small Box@,StarTAC Series,0.55,West,California,Lawndale,90260,02-01-2011,3.9,-120.52304,3,164.1,Telephones and Communication
not specified,3.08,Labels,Elizabeth Walker29,1/30/2013,Regular Air,0.08,25323,87664,Corporate 654,Office Supplies,Small Box@,Avery 481,0.37,West,California,Lawndale,90260,1/31/2013,0.99,-1.6864,1,3.85,Labels
high,6.48,Paper,Alice Capps31,08-11-2012,Regular Air,0.01,18877,89206,Corporate 654,Office Supplies,Small Box@,Xerox 1966,0.36,West,Oregon,Eugene,97405,8/13/2012,6.65,-43.3316,15,99.56,Paper
high,34.99,Pens & Art Supplies,Matthew Berman32,2/22/2010,Regular Air,0.08,23509,89199,Corporate 654,Office Supplies,Small Box@,Hunt Boston� Vacuum Mount KS Pencil Sharpener,0.59,West,Oregon,Grants Pass,97526,2/23/2010,7.73,144.69,13,424.68,Pens & Art Supplies
high,17.98,Office Machines,Matthew Berman32,3/27/2010,Regular Air,0.01,23612,89200,Corporate 654,Technology,Medium Box,Canon P1-DHIII Palm Printing Calculator,0.4,West,Oregon,Grants Pass,97526,3/28/2010,8.51,-35.8788,2,40.17,Office Machines
medium,125.99,Telephones and Communication,Matthew Berman32,7/20/2010,Express Air,0.09,23278,89202,Corporate 654,Technology,Small Box@,StarTAC 3000,0.59,West,Oregon,Grants Pass,97526,7/22/2010,7.69,209.997,8,783.55,Telephones and Communication
low,205.99,Telephones and Communication,Matthew Berman32,09-12-2010,Regular Air,0.06,19355,89203,Corporate 654,Technology,Small Box@,TimeportP7382,0.56,West,Oregon,Grants Pass,97526,9/19/2010,8.99,2568.096,22,3838.14,Telephones and Communication
critical,8.95,Paper,Matthew Berman32,10-06-2011,Regular Air,0.08,21213,89204,Corporate 654,Office Supplies,Wrap/ Bag,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",0.39,West,Oregon,Grants Pass,97526,10-08-2011,2.01,85.8636,15,133.07,Paper
high,449.99,Copiers and Fax,Matthew Berman32,06-12-2013,Delivery Truck,0.06,22221,89207,Corporate 654,Technology,Jumbo Drum$,Canon PC940 Copier,0.38,West,Oregon,Grants Pass,97526,6/14/2013,49,345,5,2157.25,Copiers and Fax
not specified,4.24,Binders and Binder Accessories,Ricky Hensley33,6/15/2010,Regular Air,0.03,23654,89201,Corporate 654,Office Supplies,Small Box@,Storex DuraTech Recycled Plastic Frosted Binders,0.35,West,Oregon,Gresham,97030,6/17/2010,5.41,-84.4376,13,58.68,Binders and Binder Accessories
not specified,2.94,Pens & Art Supplies,Ricky Hensley33,6/15/2010,Regular Air,0.04,23655,89201,Corporate 654,Office Supplies,Wrap/ Bag,Newell 338,0.58,West,Oregon,Gresham,97030,6/16/2010,0.7,24.312,18,53.1,Pens & Art Supplies
medium,4.82,Binders and Binder Accessories,Ricky Hensley33,1/26/2012,Regular Air,0.05,25327,89205,Corporate 654,Office Supplies,Small Box@,Wilson Jones Turn Tabs Binder Tool for Ring Binders,0.39,West,Oregon,Gresham,97030,1/27/2012,5.24,-75.12168,5,24.27,Binders and Binder Accessories
critical,70.98,Chairs & Chairmats,Ricky Hensley33,8/16/2013,Delivery Truck,0.05,24531,89208,Corporate 654,Furniture,Jumbo Drum$,Novimex High-Tech Fabric Mesh Task Chair,0.78,West,Oregon,Gresham,97030,8/18/2013,30,-162.15032,9,640.97,Chairs & Chairmats
critical,4.98,Paper,Ricky Hensley33,8/16/2013,Regular Air,0.05,24532,89208,Corporate 654,Office Supplies,Small Box@,Staples Copy Paper (20Lb. and 84 Bright),0.38,West,Oregon,Gresham,97030,8/18/2013,4.7,-14.99264,9,46.63,Paper
not specified,6783.02,Office Machines,Milton Bland35,11/27/2012,Regular Air,0,25223,91256,Small Business 890,Technology,Large Box,Polycom ViewStation� ISDN Videoconferencing Unit,0.39,West,Oregon,Gresham,97030,11/28/2012,24.49,2396.87958,3,21366.51,Office Machines
low,65.99,Telephones and Communication,Milton Bland35,5/28/2013,Regular Air,0.07,21026,91257,Small Business 890,Technology,Small Box@,StarTAC 7760,0.59,West,Oregon,Gresham,97030,06-02-2013,3.99,165.501,7,394.37,Telephones and Communication
not specified,9.27,Paper,Ray Morgan36,11/27/2012,Express Air,0.02,25224,91256,Small Business 890,Office Supplies,Wrap/ Bag,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",0.38,West,Oregon,Hillsboro,97123,11/29/2012,4.39,71.434,29,272.98,Paper
not specified,6.68,Paper,Ray Morgan36,11/27/2012,Regular Air,0.03,25225,91256,Small Business 890,Office Supplies,Small Box@,Xerox 1968,0.37,West,Oregon,Hillsboro,97123,11/29/2012,6.15,5.65,10,73.81,Paper
not specified,5.78,Paper,Stacy Chandler37,11/27/2012,Regular Air,0.1,25226,91256,Small Business 890,Office Supplies,Small Box@,Xerox 1978,0.36,West,Oregon,Keizer,97303,11/30/2012,5.67,7.67,11,62.59,Paper
medium,1.68,Pens & Art Supplies,Ian L O'Donnell39,07-03-2011,Regular Air,0.02,20935,88682,Corporate 654,Office Supplies,Wrap/ Bag,Newell 323,0.59,Central,Illinois,Alton,62002,07-04-2011,1.57,-30.54,10,17.12,Pens & Art Supplies
medium,7.08,Pens & Art Supplies,Ian L O'Donnell39,07-03-2011,Regular Air,0.1,20936,88682,Corporate 654,Office Supplies,Wrap/ Bag,SANFORD Major Accent� Highlighters,0.47,Central,Illinois,Alton,62002,07-05-2011,2.35,23.82,14,90.8,Pens & Art Supplies
